county,precinct,office,district,party,candidate,votes
Clark,7527,"University Board of Regents, District  6",,,"Brown, Heather",172
Clark,7527,Public Administrator,,,"Brown, Patsy",112
Clark,7527,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",209
Clark,7527,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",192
Clark,7527,U.S. House,1,LIB,"Cavanaugh, Ken",6
Clark,7527,Trustee Clark County School District G,,,"Cavazos, Linda P.",148
Clark,7527,Attorney General,,REP,"Chattah, Sigal",97
Clark,7527,"Justice of the Peace Las Vegas Township, Department 9",,,"Chio, Danielle ""Pieper""",132
Clark,7527,State Treasurer,,DEM,"Conine, Zach",194
Clark,7527,State Assembly,18,DEM,"Considine, Venicia",196
Clark,7527,County Recorder,,,"Conway, Debbie",197
Clark,7527,U.S. Senate,,DEM,"Cortez Masto, Catherine",197
Clark,7527,Secretary of State,,LIB,"Crane, Ross",4
Clark,7527,"University Board of Regents, District  6",,,"Dakduk, Jeanine",90
Clark,7527,Governor,,LIB,"Davis, Brandon",6
Clark,7527,State Assembly,18,REP,"DeCorte, Christine",114
Clark,7527,Lieutenant Governor,,NPP,"Delap, John ""Trey""",0
Clark,7527,"Justice of the Peace Las Vegas Township, Department 10",,,"Demonte, Noreen",136
Clark,7527,County Treasurer,,,"Diaz, J. ""Ken""",193
Clark,7527,"Justice of the Peace Las Vegas Township, Department 10",,,"Dotson, Cybill",124
Clark,7527,State Treasurer,,LIB,"Elliott, Bryan",5
Clark,7527,County Recorder,,,"Evans, John",113
Clark,7527,State Treasurer,,REP,"Fiore, Michele",103
Clark,7527,Attorney General,,DEM,"Ford, Aaron D.",196
Clark,7527,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",74
Clark,7527,"District Court Judge, Department  9",,,"Gall, Maria",177
Clark,7527,"District Court Judge, Department 17",,,"Ganz, Adam",85
Clark,7527,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",208
Clark,7527,"County Commissioner, District G",,,"Gibson, Jim",199
Clark,7527,"Justice of the Peace Las Vegas Township, Department 6",,,"Gonzalez, Bill",102
Clark,7527,"Justice of the Peace Las Vegas Township, Department 6",,,"Goodey, Jessica",164
Clark,7527,County Clerk,,,"Goya, Lynn Marie",199
Clark,7527,Secretary of State,,IAP,"Hansen, Janine",3
Clark,7527,State Treasurer,,IAP,"Hendrickson, Margaret",6
Clark,7527,Lieutenant Governor,,IAP,"Hoge, William",1
Clark,7527,"District Court Judge, Family Division, Department A",,,"Hughes, Lynn",35
Clark,7527,"District Court Judge, Family Division, Department A",,,"Jacks, David",34
Clark,7527,County Assessor,,,"Johnson, Briana",195
Clark,7527,"District Court Judge, Family Division, Department A",,,"Keels, Stephanie M.",47
Clark,7527,"District Court Judge, Family Division, Department A",,,"Kurth, Robert",18
Clark,7527,U.S. Senate,,REP,"Laxalt, Adam Paul",111
Clark,7527,"District Court Judge, Department  9",,,"Leavitt, James Dean",89
Clark,7527,U.S. Senate,,NPP,"Lindemann, Barry",1
Clark,7527,Governor,,REP,"Lombardo, Joe",113
Clark,7527,Secretary of State,,REP,"Marchant, Jim",109
Clark,7527,State Controller,,REP,"Matthews, Andy",108
Clark,7527,County Assessor,,,"Menesini, Brandon",4
Clark,7527,"County Commissioner, District G",,,"Mitchell, Billy",109
Clark,7527,"District Court Judge, Department 17",,,"Moors, Lindsey D.",92
Clark,7527,"Supreme Court Justice, Seat E",,,None Of These Candidates,81
Clark,7527,"Court of Appeals Judge, Department 3",,,None Of These Candidates,73
Clark,7527,"Court of Appeals Judge, Department 1",,,None Of These Candidates,69
Clark,7527,"Supreme Court Justice, Seat A",,,None Of These Candidates,78
Clark,7527,State Controller,,,None Of These Candidates,8
Clark,7527,"Court of Appeals Judge, Department 2",,,None Of These Candidates,74
Clark,7527,Lieutenant Governor,,,None Of These Candidates,7
Clark,7527,Governor,,,None Of These Candidates,1
Clark,7527,State Treasurer,,,None Of These Candidates,9
Clark,7527,U.S. Senate,,,None Of These Candidates,1
Clark,7527,Secretary of State,,,None Of These Candidates,5
Clark,7527,Attorney General,,,None Of These Candidates,11
Clark,7527,County Assessor,,,"Oseguera, Helen ""Ms. OS""",111
Clark,7527,"District Court Judge, Family Division, Department A",,,"Parlade, Maria D.",61
Clark,7527,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",197
Clark,7527,State Controller,,LIB,"Profeta, Jed W.",3
Clark,7527,Public Administrator,,,"Reid, Rita Page",193
Clark,7527,U.S. House,1,REP,"Robertson, Mark",106
Clark,7527,"District Court Judge, Department 11",,,"ROOHANI, ELLIE",126
Clark,7527,U.S. Senate,,IAP,"RUBINSON, BARRY",4
Clark,7527,"Justice of the Peace Las Vegas Township, Department 13",,,"Saxe, Rebecca",141
Clark,7527,"District Court Judge, Department 17",,,"Schwartz, Jennifer",89
Clark,7527,U.S. Senate,,LIB,"Scott, Neil",3
Clark,7527,Governor,,DEM,"SISOLAK, Steve",194
Clark,7527,State Controller,,DEM,"Spiegel, Ellen",195
Clark,7527,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",7
Clark,7527,U.S. House,1,DEM,"Titus, Dina",204
Clark,7527,County Treasurer,,,"Tracy, Mitchell T.",116
Clark,7527,District Attorney,,,"Treffinger, Timothy",106
Clark,7527,"County Commissioner, District G",,,"Welsh, Jesse James",5
Clark,7527,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",142
Clark,7527,Trustee Clark County School District G,,,"Wieman, Greg",114
Clark,7527,"Justice of the Peace Las Vegas Township, Department 7",,,"Wilson, Amy",164
Clark,7527,District Attorney,,,"Wolfson, Steve",206
Clark,7527,County Clerk,,,"Young, Bill",109
Clark,7528,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",448
Clark,7528,"District Court Judge, Department 11",,,"Albertson, Anna",333
Clark,7528,Public Administrator,,,"Aldabbagh, Tabatha",24
Clark,7528,Lieutenant Governor,,REP,"Anthony, Stavros",249
Clark,7528,"Justice of the Peace Las Vegas Township, Department 13",,,"Baucam, Suzan",274
Clark,7528,"Supreme Court Justice, Seat A",,,"Bell, Linda",509
Clark,7528,"Justice of the Peace Las Vegas Township, Department 7",,,"Berkley, Max",285
Clark,7528,"Justice of the Peace Las Vegas Township, Department 9",,,"Bonaventure, Joseph",336
Clark,7528,"District Court Judge, Family Division, Department A",,,"Brewer, Kristine",111
Clark,7528,Governor,,IAP,"Bridges, Ed",5
Clark,7528,"University Board of Regents, District  6",,,"Brown, Heather",402
Clark,7528,Public Administrator,,,"Brown, Patsy",252
Clark,7528,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",487
Clark,7528,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",426
Clark,7528,U.S. House,1,LIB,"Cavanaugh, Ken",24
Clark,7528,Trustee Clark County School District G,,,"Cavazos, Linda P.",394
Clark,7528,Attorney General,,REP,"Chattah, Sigal",238
Clark,7528,"Justice of the Peace Las Vegas Township, Department 9",,,"Chio, Danielle ""Pieper""",270
Clark,7528,State Treasurer,,DEM,"Conine, Zach",418
Clark,7528,State Assembly,18,DEM,"Considine, Venicia",433
Clark,7528,County Recorder,,,"Conway, Debbie",449
Clark,7528,U.S. Senate,,DEM,"Cortez Masto, Catherine",453
Clark,7528,Secretary of State,,LIB,"Crane, Ross",7
Clark,7528,"University Board of Regents, District  6",,,"Dakduk, Jeanine",207
Clark,7528,Governor,,LIB,"Davis, Brandon",20
Clark,7528,State Assembly,18,REP,"DeCorte, Christine",282
Clark,7528,Lieutenant Governor,,NPP,"Delap, John ""Trey""",7
Clark,7528,"Justice of the Peace Las Vegas Township, Department 10",,,"Demonte, Noreen",343
Clark,7528,County Treasurer,,,"Diaz, J. ""Ken""",442
Clark,7528,"Justice of the Peace Las Vegas Township, Department 10",,,"Dotson, Cybill",249
Clark,7528,State Treasurer,,LIB,"Elliott, Bryan",13
Clark,7528,County Recorder,,,"Evans, John",263
Clark,7528,State Treasurer,,REP,"Fiore, Michele",255
Clark,7528,Attorney General,,DEM,"Ford, Aaron D.",445
Clark,7528,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",176
Clark,7528,"District Court Judge, Department  9",,,"Gall, Maria",406
Clark,7528,"District Court Judge, Department 17",,,"Ganz, Adam",197
Clark,7528,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",503
Clark,7528,"County Commissioner, District G",,,"Gibson, Jim",460
Clark,7528,"Justice of the Peace Las Vegas Township, Department 6",,,"Gonzalez, Bill",244
Clark,7528,"Justice of the Peace Las Vegas Township, Department 6",,,"Goodey, Jessica",362
Clark,7528,County Clerk,,,"Goya, Lynn Marie",450
Clark,7528,Secretary of State,,IAP,"Hansen, Janine",12
Clark,7528,State Treasurer,,IAP,"Hendrickson, Margaret",15
Clark,7528,Lieutenant Governor,,IAP,"Hoge, William",9
Clark,7528,"District Court Judge, Family Division, Department A",,,"Hughes, Lynn",96
Clark,7528,"District Court Judge, Family Division, Department A",,,"Jacks, David",82
Clark,7528,County Assessor,,,"Johnson, Briana",450
Clark,7528,"District Court Judge, Family Division, Department A",,,"Keels, Stephanie M.",100
Clark,7528,"District Court Judge, Family Division, Department A",,,"Kurth, Robert",58
Clark,7528,U.S. Senate,,REP,"Laxalt, Adam Paul",248
Clark,7528,"District Court Judge, Department  9",,,"Leavitt, James Dean",216
Clark,7528,U.S. Senate,,NPP,"Lindemann, Barry",5
Clark,7528,Governor,,REP,"Lombardo, Joe",257
Clark,7528,Secretary of State,,REP,"Marchant, Jim",242
Clark,7528,State Controller,,REP,"Matthews, Andy",272
Clark,7528,County Assessor,,,"Menesini, Brandon",17
Clark,7528,"County Commissioner, District G",,,"Mitchell, Billy",242
Clark,7528,"District Court Judge, Department 17",,,"Moors, Lindsey D.",189
Clark,7528,Secretary of State,,,None Of These Candidates,12
Clark,7528,Attorney General,,,None Of These Candidates,10
Clark,7528,U.S. Senate,,,None Of These Candidates,7
Clark,7528,"Court of Appeals Judge, Department 3",,,None Of These Candidates,162
Clark,7528,"Supreme Court Justice, Seat E",,,None Of These Candidates,157
Clark,7528,State Treasurer,,,None Of These Candidates,20
Clark,7528,Governor,,,None Of These Candidates,11
Clark,7528,"Court of Appeals Judge, Department 2",,,None Of These Candidates,148
Clark,7528,"Supreme Court Justice, Seat A",,,None Of These Candidates,148
Clark,7528,Lieutenant Governor,,,None Of These Candidates,15
Clark,7528,State Controller,,,None Of These Candidates,12
Clark,7528,"Court of Appeals Judge, Department 1",,,None Of These Candidates,149
Clark,7528,County Assessor,,,"Oseguera, Helen ""Ms. OS""",248
Clark,7528,"District Court Judge, Family Division, Department A",,,"Parlade, Maria D.",155
Clark,7528,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",481
Clark,7528,State Controller,,LIB,"Profeta, Jed W.",11
Clark,7528,Public Administrator,,,"Reid, Rita Page",440
Clark,7528,U.S. House,1,REP,"Robertson, Mark",253
Clark,7528,"District Court Judge, Department 11",,,"ROOHANI, ELLIE",276
Clark,7528,U.S. Senate,,IAP,"RUBINSON, BARRY",3
Clark,7528,"Justice of the Peace Las Vegas Township, Department 13",,,"Saxe, Rebecca",322
Clark,7528,"District Court Judge, Department 17",,,"Schwartz, Jennifer",235
Clark,7528,U.S. Senate,,LIB,"Scott, Neil",9
Clark,7528,Governor,,DEM,"SISOLAK, Steve",426
Clark,7528,State Controller,,DEM,"Spiegel, Ellen",424
Clark,7528,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",15
Clark,7528,U.S. House,1,DEM,"Titus, Dina",441
Clark,7528,County Treasurer,,,"Tracy, Mitchell T.",270
Clark,7528,District Attorney,,,"Treffinger, Timothy",256
Clark,7528,"County Commissioner, District G",,,"Welsh, Jesse James",14
Clark,7528,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",342
Clark,7528,Trustee Clark County School District G,,,"Wieman, Greg",209
Clark,7528,"Justice of the Peace Las Vegas Township, Department 7",,,"Wilson, Amy",321
Clark,7528,District Attorney,,,"Wolfson, Steve",461
Clark,7528,County Clerk,,,"Young, Bill",263
Clark,7531,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",322
Clark,7531,"District Court Judge, Department 11",,,"Albertson, Anna",243
Clark,7531,Public Administrator,,,"Aldabbagh, Tabatha",24
Clark,7531,Lieutenant Governor,,REP,"Anthony, Stavros",168
Clark,7531,"Justice of the Peace Las Vegas Township, Department 13",,,"Baucam, Suzan",188
Clark,7531,"Supreme Court Justice, Seat A",,,"Bell, Linda",345
Clark,7531,"Justice of the Peace Las Vegas Township, Department 7",,,"Berkley, Max",189
Clark,7531,"Justice of the Peace Las Vegas Township, Department 9",,,"Bonaventure, Joseph",264
Clark,7531,"District Court Judge, Family Division, Department A",,,"Brewer, Kristine",94
Clark,7531,Governor,,IAP,"Bridges, Ed",9
Clark,7531,Public Administrator,,,"Brown, Patsy",168
Clark,7531,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",341
Clark,7531,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",307
Clark,7531,U.S. House,1,LIB,"Cavanaugh, Ken",15
Clark,7531,Trustee Clark County School District G,,,"Cavazos, Linda P.",271
Clark,7531,Attorney General,,REP,"Chattah, Sigal",158
Clark,7531,"Justice of the Peace Las Vegas Township, Department 9",,,"Chio, Danielle ""Pieper""",176
Clark,7531,State Treasurer,,DEM,"Conine, Zach",310
Clark,7531,State Assembly,18,DEM,"Considine, Venicia",321
Clark,7531,County Recorder,,,"Conway, Debbie",336
Clark,7531,U.S. Senate,,DEM,"Cortez Masto, Catherine",319
Clark,7531,Secretary of State,,LIB,"Crane, Ross",4
Clark,7531,Governor,,LIB,"Davis, Brandon",13
Clark,7531,State Assembly,18,REP,"DeCorte, Christine",181
Clark,7531,Lieutenant Governor,,NPP,"Delap, John ""Trey""",3
Clark,7531,"Justice of the Peace Las Vegas Township, Department 10",,,"Demonte, Noreen",234
Clark,7531,County Treasurer,,,"Diaz, J. ""Ken""",326
Clark,7531,"Justice of the Peace Las Vegas Township, Department 10",,,"Dotson, Cybill",191
Clark,7531,State Treasurer,,LIB,"Elliott, Bryan",12
Clark,7531,County Recorder,,,"Evans, John",167
Clark,7531,State Treasurer,,REP,"Fiore, Michele",165
Clark,7531,Attorney General,,DEM,"Ford, Aaron D.",318
Clark,7531,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",134
Clark,7531,"District Court Judge, Department  9",,,"Gall, Maria",292
Clark,7531,"District Court Judge, Department 17",,,"Ganz, Adam",136
Clark,7531,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",330
Clark,7531,"County Commissioner, District G",,,"Gibson, Jim",327
Clark,7531,"Justice of the Peace Las Vegas Township, Department 6",,,"Gonzalez, Bill",169
Clark,7531,"Justice of the Peace Las Vegas Township, Department 6",,,"Goodey, Jessica",261
Clark,7531,County Clerk,,,"Goya, Lynn Marie",325
Clark,7531,Secretary of State,,IAP,"Hansen, Janine",10
Clark,7531,State Treasurer,,IAP,"Hendrickson, Margaret",10
Clark,7531,Lieutenant Governor,,IAP,"Hoge, William",7
Clark,7531,"District Court Judge, Family Division, Department A",,,"Hughes, Lynn",53
Clark,7531,"District Court Judge, Family Division, Department A",,,"Jacks, David",47
Clark,7531,County Assessor,,,"Johnson, Briana",324
Clark,7531,"District Court Judge, Family Division, Department A",,,"Keels, Stephanie M.",85
Clark,7531,"District Court Judge, Family Division, Department A",,,"Kurth, Robert",41
Clark,7531,U.S. Senate,,REP,"Laxalt, Adam Paul",165
Clark,7531,"District Court Judge, Department  9",,,"Leavitt, James Dean",147
Clark,7531,U.S. Senate,,NPP,"Lindemann, Barry",7
Clark,7531,Governor,,REP,"Lombardo, Joe",167
Clark,7531,Secretary of State,,REP,"Marchant, Jim",165
Clark,7531,State Controller,,REP,"Matthews, Andy",166
Clark,7531,County Assessor,,,"Menesini, Brandon",15
Clark,7531,"County Commissioner, District G",,,"Mitchell, Billy",164
Clark,7531,"District Court Judge, Department 17",,,"Moors, Lindsey D.",116
Clark,7531,"Court of Appeals Judge, Department 3",,,None Of These Candidates,119
Clark,7531,State Treasurer,,,None Of These Candidates,12
Clark,7531,"Supreme Court Justice, Seat E",,,None Of These Candidates,137
Clark,7531,U.S. Senate,,,None Of These Candidates,11
Clark,7531,Attorney General,,,None Of These Candidates,17
Clark,7531,Secretary of State,,,None Of These Candidates,11
Clark,7531,State Controller,,,None Of These Candidates,14
Clark,7531,"Court of Appeals Judge, Department 2",,,None Of These Candidates,127
Clark,7531,"Supreme Court Justice, Seat A",,,None Of These Candidates,118
Clark,7531,"Court of Appeals Judge, Department 1",,,None Of These Candidates,106
Clark,7531,Governor,,,None Of These Candidates,11
Clark,7531,Lieutenant Governor,,,None Of These Candidates,11
Clark,7531,County Assessor,,,"Oseguera, Helen ""Ms. OS""",165
Clark,7531,"District Court Judge, Family Division, Department A",,,"Parlade, Maria D.",105
Clark,7531,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",312
Clark,7531,State Controller,,LIB,"Profeta, Jed W.",10
Clark,7531,Public Administrator,,,"Reid, Rita Page",311
Clark,7531,U.S. House,1,REP,"Robertson, Mark",172
Clark,7531,"District Court Judge, Department 11",,,"ROOHANI, ELLIE",194
Clark,7531,U.S. Senate,,IAP,"RUBINSON, BARRY",3
Clark,7531,"Justice of the Peace Las Vegas Township, Department 13",,,"Saxe, Rebecca",239
Clark,7531,"District Court Judge, Department 17",,,"Schwartz, Jennifer",183
Clark,7531,U.S. Senate,,LIB,"Scott, Neil",8
Clark,7531,Governor,,DEM,"SISOLAK, Steve",312
Clark,7531,State Controller,,DEM,"Spiegel, Ellen",314
Clark,7531,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",13
Clark,7531,U.S. House,1,DEM,"Titus, Dina",322
Clark,7531,County Treasurer,,,"Tracy, Mitchell T.",180
Clark,7531,District Attorney,,,"Treffinger, Timothy",174
Clark,7531,"County Commissioner, District G",,,"Welsh, Jesse James",14
Clark,7531,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",226
Clark,7531,Trustee Clark County School District G,,,"Wieman, Greg",164
Clark,7531,"Justice of the Peace Las Vegas Township, Department 7",,,"Wilson, Amy",237
Clark,7531,District Attorney,,,"Wolfson, Steve",331
Clark,7531,County Clerk,,,"Young, Bill",179
Clark,7542,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",10
Clark,7542,"District Court Judge, Department 11",,,"Albertson, Anna",12
Clark,7542,Public Administrator,,,"Aldabbagh, Tabatha",1
Clark,7542,Lieutenant Governor,,REP,"Anthony, Stavros",13
Clark,7542,"Supreme Court Justice, Seat A",,,"Bell, Linda",16
Clark,7542,"District Court Judge, Family Division, Department A",,,"Brewer, Kristine",6
Clark,7542,Governor,,IAP,"Bridges, Ed",0
Clark,7542,"University Board of Regents, District  6",,,"Brown, Heather",8
