town,ward,precinct,office,district,party,candidate,votes
Cambridge,8,3,U.S. Senate,,Democratic,All Others,0
Oxford,,1,U.S. House,2nd,Republican,Blanks,36
Norfolk,,1,U.S. House,,Democratic,David Franklin Cavell,6
Fitchburg,3,A,State Senate,Worcester and Middlesex,Republican,Blanks,13
Worcester,4,2,State Senate,1st Worcester,Democratic,Total Votes Cast,456
Boston,18,15,State House,14th Suffolk,Democratic,All Others,0
Wayland,,4,U.S. House,5th,Libertarian,"Walter J. Ziobro, Jr",0
Tewksbury,,1,U.S. Senate,,Libertarian,Blanks,0
Saugus,,10,U.S. House,6th,Democratic,Jamie M. Belsito,58
Chicopee,5,A,U.S. Senate,,Republican,Shiva Ayyadurai,52
Templeton,,B,State House,2nd Franklin,Republican,Total Votes Cast,165
Springfield,7,C,State Senate,1st Hampden and Hampshire,Democratic,All Others,11
Wellesley,,H,State House,14th Norfolk,Democratic,All Others,2
Winchendon,,2,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Republican,Blanks,17
Springfield,8,H,State Senate,Hampden,Democratic,Blanks,20
Aquinnah,,1,Governor's Council,1st,Democratic,All Others,0
Reading,,7,Governor's Council,6th,Democratic,Total Votes Cast,1044
TOTALS,,,State Senate,2nd Suffolk and Middlesex,Democratic,Total Votes Cast,36783
Holyoke,5,A,State Senate,2nd Hampden and Hampshire,Democratic,John C. Velis,568
Braintree,,1B,U.S. House,8th,Democratic,All Others,10
Chicopee,3,A,Governor's Council,8th,Democratic,Total Votes Cast,474
Pembroke,,4,State Senate,Plymouth and Barnstable,Democratic,Total Votes Cast,687
Somerville,5,1,U.S. House,7th,Republican,Rayla Campbell,12
Woburn,7,1,U.S. Senate,,Democratic,Total Votes Cast,693
Randolph,,6,U.S. House,7th,Democratic,Ayanna S. Pressley,479
Boston,10,9,State House,15th Suffolk,Democratic,Blanks,134
Boston,18,4,Governor's Council,4th,Democratic,Blanks,124
Norton,,3,U.S. Senate,,Democratic,Edward J. Markey,262
Taunton,5,B,Governor's Council,1st,Democratic,Blanks,107
Cambridge,1,2,U.S. House,7th,Republican,Rayla Campbell,5
Springfield,1,E,U.S. Senate,,Democratic,Edward J. Markey,76
Hingham,,5A,State Senate,Plymouth and Norfolk,Republican,All Others,3
Worcester,7,2,U.S. Senate,,Democratic,Blanks,1
Boston,19,10,U.S. House,7th,Republican,Total Votes Cast,23
Rockland,,1,U.S. Senate,,Republican,Total Votes Cast,201
Duxbury,,5,U.S. House,9th,Republican,Helen Brady,141
Weymouth,,8,U.S. Senate,,Republican,Shiva Ayyadurai,52
Boston,1,3,U.S. Senate,,Democratic,Blanks,4
Lawrence,E,1,U.S. Senate,,Libertarian,Total Votes Cast,5
Weymouth,,5,State Senate,Plymouth and Norfolk,Democratic,All Others,3
Haverhill,4,3,Governor's Council,5th,Democratic,All Others,128
Dedham,,2,U.S. House,8th,Democratic,Total Votes Cast,1066
Malden,5,1,U.S. Senate,,Republican,Kevin J. O'Connor,34
Beverly,2,2,State House,6th Essex,Democratic,Total Votes Cast,992
Boston,14,13,Governor's Council,4th,Democratic,Blanks,56
Dunstable,,1,Governor's Council,5th,Democratic,Blanks,130
Boston,22,8,State House,18th Suffolk,Democratic,All Others,5
Bourne,,6,State Senate,Plymouth and Barnstable,Special Republican,Jesse G. Brown,47
Somerville,7,3,U.S. House,7th,Republican,All Others,9
New Bedford,2,F,U.S. House,9th,Republican,Total Votes Cast,65
Braintree,,6A,U.S. Senate,,Republican,Total Votes Cast,212
Boston,1,4,U.S. Senate,,Republican,Kevin J. O'Connor,16
Boston,18,5,U.S. Senate,,Libertarian,All Others,0
Easton,,4,U.S. Senate,,Libertarian,All Others,2
Wakefield,,6,State House,32nd Middlesex,Special Democratic,Mathew Helman,13
Boston,22,10,U.S. Senate,,Republican,Total Votes Cast,35
Fall River,9,B,State House,6th Bristol,Democratic,Carole A. Fiola,403
Attleboro,6,B,U.S. Senate,,Democratic,All Others,0
Lynn,1,3,U.S. House,6th,Republican,Blanks,11
Framingham,,4,State Senate,2nd Middlesex and Norfolk,Democratic,Blanks,165
N. Attleborough,,9,State House,14th Bristol,Republican,All Others,1
Middleborough,,4,U.S. House,9th,Democratic,Blanks,56
Boston,22,8,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",122
Whitman,,2,State House,7th Plymouth,Republican,Blanks,25
Groveland,,2,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Worcester,10,3,U.S. House,2nd,Republican,Blanks,1
Braintree,,1A,State Senate,"Norfolk, Bristol and Plymouth",Democratic,"Walter F. Timilty, Jr.",506
Worcester,5,5,State Senate,2nd Worcester,Democratic,Michael O. Moore,540
Maynard,,1,U.S. House,3rd,Democratic,All Others,0
Weymouth,,13,State Senate,Plymouth and Norfolk,Democratic,Meg Wheeler,406
Raynham,,1A,State House,8th Plymouth,Republican,Blanks,5
Lenox,,1,U.S. Senate,,Republican,Total Votes Cast,119
New Bedford,5,B,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",267
Rutland,,3,U.S. Senate,,Republican,Shiva Ayyadurai,82
Boston,1,10,Governor's Council,6th,Democratic,Terrence W. Kennedy,102
Fitchburg,1,A,State Senate,Worcester and Middlesex,Democratic,Total Votes Cast,279
Westfield,3,A,State House,4th Hampden,Democratic,All Others,1
Taunton,8,A,State House,3rd Bristol,Democratic,Total Votes Cast,626
Brockton,5,B,State House,10th Plymouth,Democratic,Total Votes Cast,622
Scituate,,1,U.S. Senate,,Libertarian,All Others,1
Lowell,9,3,U.S. House,3rd,Democratic,Total Votes Cast,379
Rehoboth,,2,U.S. Senate,,Democratic,All Others,0
Plainfield,,1,U.S. Senate,,Democratic,Edward J. Markey,183
Swansea,,3,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Palmer,,2,U.S. Senate,,Libertarian,Blanks,1
Somerville,2,1,U.S. House,7th,Democratic,All Others,8
Westborough,,1,State Senate,Middlesex and Worcester,Democratic,James B. Eldridge,497
Rockland,,6,U.S. House,9th,Democratic,Bill Keating,481
Hingham,,4,U.S. Senate,,Democratic,All Others,0
Lowell,4,3,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",153
Braintree,,1A,State House,5th Norfolk,Republican,Total Votes Cast,199
Ayer,,2,State House,37th Middlesex,Republican,Total Votes Cast,209
Northampton,5,A,U.S. House,2nd,Republican,All Others,0
Taunton,7,A,State House,3rd Bristol,Republican,Total Votes Cast,150
Adams,,5,U.S. House,1st,Democratic,Alex B. Morse,122
Waltham,7,2,U.S. Senate,,Democratic,All Others,1
Worcester,7,1,U.S. Senate,,Republican,Shiva Ayyadurai,57
Needham,,E,U.S. House,,Democratic,Christopher Z. Zannetos,37
Westminster,,2,State Senate,Worcester and Middlesex,Republican,Dean Tran,283
Saugus,,10,U.S. House,6th,Republican,John Paul Moran,112
Boston,17,2,U.S. Senate,,Republican,All Others,1
Cambridge,1,2,U.S. Senate,,Libertarian,All Others,3
Boston,12,6,U.S. Senate,,Libertarian,Blanks,0
Springfield,4,C,U.S. House,1st,Democratic,Total Votes Cast,249
Wakefield,,5,U.S. House,6th,Republican,All Others,8
Waltham,4,1,U.S. House,5th,Republican,Blanks,38
Springfield,1,H,Governor's Council,8th,Democratic,Total Votes Cast,290
Waltham,4,1,State Senate,3rd Middlesex,Democratic,Blanks,163
Ipswich,,4,U.S. House,6th,Democratic,Angus G. McQuilken,128
Plymouth,,15,State House,1st Plymouth,Republican,All Others,4
Hopkinton,,3,State House,8th Middlesex,Democratic,Blanks,1
Stow,,2,State House,3rd Middlesex,Democratic,Total Votes Cast,1166
Everett,3,2,Governor's Council,6th,Democratic,Blanks,49
Great Barrington,,D,Governor's Council,8th,Democratic,All Others,1
Fall River,8,B,U.S. House,4th,Republican,Blanks,11
Buckland,,1,U.S. Senate,,Democratic,Total Votes Cast,657
Springfield,2,B,U.S. Senate,,Republican,Blanks,0
Leicester,,2,State Senate,2nd Worcester,Democratic,Michael O. Moore,429
Brookline,,11,State House,15th Norfolk,Democratic,Total Votes Cast,1246
Salem,3,1,U.S. Senate,,Republican,Blanks,0
Norfolk,,2,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",518
Lynnfield,,4,U.S. Senate,,Democratic,Total Votes Cast,577
Worcester,8,5,Governor's Council,7th,Democratic,Padraic Rafferty,110
Boston,20,16,State House,10th Suffolk,Democratic,All Others,7
Fitchburg,4,A,State House,3rd Worcester,Democratic,All Others,1
Boston,18,19,State Senate,Norfolk and Suffolk,Democratic,Blanks,255
Haverhill,4,3,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",262
Boston,15,5,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Oxford,,3,State Senate,Worcester and Norfolk,Democratic,Total Votes Cast,538
Norwood,,7,U.S. Senate,,Democratic,Edward J. Markey,426
Reading,,2,U.S. House,6th,Republican,Total Votes Cast,240
Marlborough,1,2,U.S. Senate,,Libertarian,Total Votes Cast,3
Fall River,7,A,U.S. House,,Democratic,Total Votes Cast,419
Pittsfield,1,B,U.S. Senate,,Libertarian,All Others,3
Auburn,,2,Governor's Council,7th,Democratic,Paul M. Depalo,283
Plymouth,,15,State Senate,Plymouth and Barnstable,Republican,All Others,4
Seekonk,,3,U.S. House,4th,Republican,Total Votes Cast,128
Bedford,,1,U.S. Senate,,Democratic,Total Votes Cast,1127
Framingham,,7,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",360
Waltham,9,2,U.S. Senate,,Democratic,Total Votes Cast,550
Haverhill,6,1,State House,3rd Essex,Democratic,Total Votes Cast,412
Mendon,,1,U.S. House,2nd,Democratic,Blanks,196
Hull,,3,State House,3rd Plymouth,Republican,Blanks,46
Dalton,,2,U.S. Senate,,Republican,Blanks,0
N. Adams,3,3,Governor's Council,8th,Democratic,Total Votes Cast,403
Springfield,7,A,State Senate,1st Hampden and Hampshire,Democratic,All Others,9
Canton,,5,State Senate,"Norfolk, Bristol and Plymouth",Democratic,All Others,0
Peabody,4,1,U.S. Senate,,Republican,Blanks,1
N. Adams,2,2,U.S. Senate,,Democratic,All Others,0
New Bedford,5,A,Governor's Council,1st,Democratic,Total Votes Cast,214
Hanson,,1,State Senate,2nd Plymouth and Bristol,Democratic,All Others,1
Rehoboth,,2,U.S. House,4th,Republican,Total Votes Cast,299
Fitchburg,2,A,U.S. Senate,,Republican,Total Votes Cast,63
Monterey,,1,U.S. Senate,,Republican,Shiva Ayyadurai,15
Barnstable,,6,State Senate,Cape and Islands,Democratic,All Others,4
Swampscott,,2,Governor's Council,6th,Democratic,Helina Fontes,272
Groton,,1,State House,1st Middlesex,Democratic,Deborah L. Busser,840
Brockton,5,C,U.S. Senate,,Republican,All Others,1
Acushnet,,3,U.S. Senate,,Republican,Blanks,13
Marlborough,5,1,Governor's Council,3rd,Democratic,Marilyn Petitto Devaney,292
Arlington,,4,U.S. House,5th,Libertarian,All Others,0
Worcester,7,5,U.S. Senate,,Libertarian,All Others,1
Watertown,,7,State House,29th Middlesex,Democratic,Steven C. Owens,540
Malden,2,2,State Senate,5th Middlesex,Republican,Total Votes Cast,78
Boston,18,19,State House,14th Suffolk,Democratic,All Others,2
Dartmouth,,7,Governor's Council,1st,Democratic,Total Votes Cast,751
Springfield,3,C,U.S. House,1st,Democratic,Richard E. Neal,89
Peabody,6,1,State House,13th Essex,Democratic,Total Votes Cast,585
Gardner,2,A,State House,2nd Worcester,Democratic,All Others,1
E. Bridgewater,,4,State Senate,"Norfolk, Bristol and Plymouth",Democratic,Jarred Philip Rose,151
Shrewsbury,,7,U.S. Senate,,Democratic,Total Votes Cast,834
Tewksbury,,4A,U.S. House,6th,Democratic,Jamie M. Belsito,120
Milford,,3,U.S. House,,Democratic,Alan A. Khazei,44
Grafton,,2,State Senate,2nd Worcester,Democratic,Blanks,101
Chelsea,2,3,Governor's Council,6th,Democratic,Total Votes Cast,126
Newbury,,1,U.S. Senate,,Republican,Kevin J. O'Connor,141
Springfield,2,F,U.S. Senate,,Republican,Blanks,2
Boston,10,3,State Senate,2nd Suffolk,Democratic,All Others,0
Wendell,,1,U.S. Senate,,Republican,Total Votes Cast,22
Revere,2,3A,State House,19th Suffolk,Democratic,Blanks,9
Boston,16,6,U.S. Senate,,Republican,Total Votes Cast,58
Becket,,1,State House,4th Berkshire,Democratic,"William ""Smitty"" Pignatelli",376
Rockport,,2,U.S. House,6th,Democratic,Seth W. Moulton,698
Springfield,3,E,U.S. Senate,,Libertarian,Vermin Love Supreme,0
TOTALS,,,State Senate,"Norfolk, Bristol and Plymouth",Democratic,Total Votes Cast,40422
Andover,,2,U.S. Senate,,Republican,All Others,1
Amesbury,,3,State House,1st Essex,Republican,Blanks,11
Northampton,7,A,U.S. Senate,,Democratic,Total Votes Cast,877
Boston,8,3,U.S. Senate,,Democratic,Blanks,1
Boston,7,4,U.S. Senate,,Republican,Shiva Ayyadurai,21
Saugus,,5,State House,9th Essex,Republican,Donald H. Wong,195
Rockport,,2,U.S. Senate,,Republican,All Others,0
Tolland,,1,State Senate,2nd Hampden and Hampshire,Democratic,Total Votes Cast,64
Winchester,,7,Governor's Council,6th,Democratic,Total Votes Cast,733
Hopkinton,,3,State Senate,2nd Middlesex and Norfolk,Democratic,Total Votes Cast,875
Townsend,,3,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",246
Northampton,1,A,U.S. House,2nd,Republican,Blanks,5
Scituate,,2,U.S. Senate,,Republican,Shiva Ayyadurai,56
Marblehead,,2,Governor's Council,6th,Democratic,Blanks,132
Scituate,,1,State House,4th Plymouth,Republican,Total Votes Cast,236
Wakefield,,6,U.S. Senate,,Libertarian,All Others,1
Attleboro,6,A,U.S. Senate,,Republican,Blanks,8
Haverhill,1,1,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Mashpee,,3,U.S. House,9th,Democratic,All Others,5
Boston,13,1,U.S. Senate,,Republican,All Others,0
Newton,8,3,State House,12th Middlesex,Democratic,Total Votes Cast,1018
Revere,5,2A,U.S. House,5th,Democratic,Total Votes Cast,200
Leominster,5,A,Governor's Council,7th,Democratic,Total Votes Cast,383
TOTALS,,,State House,17th Suffolk,Democratic,Blanks,290
Bridgewater,,7,Governor's Council,1st,Democratic,Blanks,185
Worcester,9,2,Governor's Council,7th,Democratic,All Others,0
Lakeville,,3,U.S. House,,Democratic,David Franklin Cavell,13
Needham,,F,U.S. Senate,,Libertarian,Total Votes Cast,0
Fairhaven,,3,Governor's Council,1st,Democratic,Joseph C. Ferreira,285
Plympton,,1,State Senate,2nd Plymouth and Bristol,Democratic,Michael D. Brady,323
Westfield,1,B,U.S. Senate,,Republican,All Others,3
Burlington,,4,Governor's Council,3rd,Democratic,Blanks,135
Norwood,,3,State Senate,Norfolk and Suffolk,Democratic,All Others,3
Dracut,,7,U.S. Senate,,Republican,Kevin J. O'Connor,99
Westborough,,2,U.S. House,2nd,Republican,Total Votes Cast,81
Granby,,2,U.S. House,1st,Democratic,Richard E. Neal,337
Brookline,,1,U.S. House,,Democratic,Benjamin R. Sigel,22
Weymouth,,10,U.S. Senate,,Republican,Blanks,4
Amesbury,,6,State House,1st Essex,Democratic,Blanks,108
Salem,7,2,U.S. Senate,,Democratic,Edward J. Markey,412
Kingston,,2,State Senate,Plymouth and Barnstable,Republican,Total Votes Cast,220
Plainville,,3,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",285
Medford,4,1,U.S. Senate,,Libertarian,Blanks,0
Lunenburg,,B,Governor's Council,7th,Democratic,Blanks,63
Leominster,2,B,Governor's Council,7th,Democratic,Blanks,42
Wakefield,,3,State Senate,5th Middlesex,Democratic,All Others,6
Springfield,4,E,State House,11th Hampden,Republican,All Others,3
Ludlow,,2,U.S. Senate,,Libertarian,All Others,2
Milton,,10,U.S. Senate,,Democratic,All Others,0
Marlborough,5,2,State Senate,Middlesex and Worcester,Democratic,James B. Eldridge,447
Leicester,,1,U.S. Senate,,Democratic,All Others,0
Taunton,8,B,U.S. Senate,,Libertarian,Total Votes Cast,4
Lynn,2,3,U.S. Senate,,Democratic,Blanks,1
Freetown,,3,U.S. House,,Democratic,Jake Auchincloss,128
Attleboro,6,A,U.S. House,4th,Republican,All Others,4
Hull,,1,State House,3rd Plymouth,Democratic,Blanks,180
Uxbridge,,2,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",345
Cambridge,9,3,State Senate,2nd Middlesex,Democratic,All Others,2
Freetown,,2,U.S. House,4th,Republican,Total Votes Cast,177
Marshfield,,7,State Senate,Plymouth and Norfolk,Democratic,Total Votes Cast,915
Arlington,,6,State House,23rd Middlesex,Democratic,All Others,2
Salem,2,2,State House,7th Essex,Democratic,Paul F. Tucker,1053
Taunton,8,A,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",400
Fitchburg,5,B,State House,3rd Worcester,Republican,Glenn C. Fossa,44
Amherst,,5,U.S. House,2nd,Republican,Tracy Lyn Lovvorn,13
Newton,8,4,Governor's Council,3rd,Democratic,All Others,5
Chicopee,6,BW,Governor's Council,8th,Democratic,Blanks,20
Adams,,1,State House,1st Berkshire,Democratic,All Others,2
Boston,16,9,U.S. Senate,,Republican,All Others,3
Weymouth,,15,U.S. Senate,,Republican,Blanks,5
Medfield,,3,State House,9th Norfolk,Democratic,Total Votes Cast,827
Malden,1,2,U.S. House,5th,Republican,Blanks,9
Canton,,5,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",490
Acushnet,,1,U.S. House,9th,Republican,Total Votes Cast,171
Dedham,,3,Governor's Council,2nd,Democratic,Blanks,262
Springfield,8,G,U.S. Senate,,Republican,Total Votes Cast,51
Haverhill,5,1,State Senate,1st Essex,Democratic,Blanks,85
Boston,20,19,State Senate,Norfolk and Suffolk,Democratic,Blanks,113
Newburyport,3,1,U.S. House,6th,Democratic,Total Votes Cast,1052
Chicopee,6,AS,U.S. Senate,,Libertarian,Blanks,1
Taunton,4,A,U.S. House,,Democratic,All Others,2
Bellingham,,4A,State Senate,Worcester and Norfolk,Democratic,All Others,0
Salem,2,2,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Tewksbury,,1A,U.S. Senate,,Libertarian,Blanks,0
Boston,20,17,U.S. House,8th,Democratic,Blanks,31
Lawrence,B,1,U.S. Senate,,Democratic,Total Votes Cast,356
Dedham,,6,Governor's Council,2nd,Democratic,Robert L. Jubinville,744
Halifax,,2,U.S. House,9th,Democratic,Blanks,87
Plymouth,,6,U.S. House,9th,Democratic,Bill Keating,687
Plymouth,,6,State Senate,Plymouth and Barnstable,Democratic,Total Votes Cast,840
Lakeville,,1,U.S. House,,Democratic,Jesse R. Mermell,46
Fitchburg,1,B,State Senate,Worcester and Middlesex,Democratic,All Others,2
Tisbury,,1,State Senate,Cape and Islands,Democratic,All Others,0
Marblehead,,2,Governor's Council,6th,Democratic,All Others,0
Sharon,,1,State Senate,Bristol and Norfolk,Democratic,Blanks,363
Chicopee,6,BW,State Senate,1st Hampden and Hampshire,Democratic,Eric P. Lesser,96
Boston,9,1,U.S. House,7th,Democratic,Ayanna S. Pressley,524
Quincy,6,1,State Senate,Norfolk and Plymouth,Democratic,John F. Keenan,466
Plymouth,,7,U.S. Senate,,Republican,Kevin J. O'Connor,132
Weymouth,,12,U.S. House,8th,Democratic,All Others,1
Lowell,5,1,U.S. Senate,,Republican,Blanks,2
Holyoke,3,B,U.S. Senate,,Libertarian,All Others,0
Worcester,3,4,U.S. Senate,,Libertarian,Total Votes Cast,4
Beverly,6,2,U.S. Senate,,Libertarian,All Others,1
Winchester,,6,U.S. Senate,,Libertarian,Blanks,0
Amesbury,,3,Governor's Council,5th,Democratic,Total Votes Cast,712
Westfield,6,B,U.S. Senate,,Republican,Total Votes Cast,262
Springfield,3,C,U.S. House,1st,Democratic,Alex B. Morse,65
Boston,4,4,U.S. Senate,,Republican,Shiva Ayyadurai,11
Billerica,,5,U.S. House,6th,Democratic,Total Votes Cast,726
Cambridge,11,3,U.S. Senate,,Libertarian,Total Votes Cast,4
TOTALS,,,State Senate,2nd Essex,Democratic,All Others,137
Woburn,5,1,Governor's Council,3rd,Democratic,Marilyn Petitto Devaney,540
Marlborough,6,2,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",293
Natick,,3,U.S. House,5th,Libertarian,Blanks,0
Medway,,4,U.S. House,,Democratic,Jake Auchincloss,193
Peabody,3,1,U.S. Senate,,Libertarian,Blanks,2
Lowell,1,1,State Senate,1st Middlesex,Democratic,"Edward J. Kennedy, Jr",286
Bedford,,4,U.S. House,6th,Democratic,Seth W. Moulton,640
Boston,1,9,State Senate,1st Suffolk and Middlesex,Democratic,All Others,7
Cambridge,1,3,U.S. House,7th,Republican,Total Votes Cast,46
Holyoke,4,A,U.S. Senate,,Republican,All Others,0
Springfield,6,E,State House,11th Hampden,Democratic,Blanks,36
Braintree,,5A,State House,5th Norfolk,Republican,Blanks,33
Agawam,,3,State House,3rd Hampden,Republican,Nicholas A. Boldyga,175
Greenfield,,4,Governor's Council,8th,Democratic,All Others,1
Stoughton,,6,U.S. Senate,,Libertarian,All Others,1
Weymouth,,3,State House,4th Norfolk,Republican,Paul J. Rotondo,141
Hadley,,1,U.S. Senate,,Republican,All Others,1
E. Bridgewater,,4,State House,7th Plymouth,Republican,Alyson M. Sullivan,190
New Braintree,,1,State House,5th Worcester,Democratic,Samuel Biagetti,154
Fall River,3,C,State House,7th Bristol,Democratic,Blanks,62
W. Tisbury,,1,U.S. Senate,,Libertarian,Total Votes Cast,0
Wrentham,,1,U.S. Senate,,Republican,All Others,1
Lynn,1,4,State Senate,3rd Essex,Democratic,All Others,4
Pittsfield,6,A,State Senate,"Berkshire, Hampshire, Franklin & Hampden",Democratic,All Others,1
Ludlow,,6,U.S. House,1st,Democratic,Alex B. Morse,298
